feature1,feature2,feature3,feature4,feature5,target
5.488135039273247529e+00,7.151893663724194994e+00,6.027633760716438971e+00,5.448831829968968421e+00,4.236547993389047306e+00,3.645995201143883691e+01
6.458941130666561392e+00,4.375872112626924881e+00,8.917730007820797056e+00,9.636627605010293252e+00,3.834415188257777274e+00,4.342050896870647136e+01
7.917250380826645895e+00,5.288949197529044355e+00,5.680445610939322876e+00,9.255966382926610336e+00,7.103605819788694209e-01,4.059359241874128799e+01
8.712929970154070780e-01,2.021839744032571939e-01,8.326198455479380200e+00,7.781567509498504620e+00,8.700121482468190948e+00,2.714848338427579222e+01
9.786183422327640713e+00,7.991585642167235548e+00,4.614793622529318462e+00,7.805291762864554173e+00,1.182744258689332195e+00,4.810987163431121161e+01
6.399210213275238424e+00,1.433532874090464038e+00,9.446689170495838894e+00,5.218483217500716975e+00,4.146619399905235426e+00,3.016861241573264962e+01
2.645556121046269915e+00,7.742336894342166431e+00,4.561503322165485486e+00,5.684339488686484643e+00,1.878980043635514185e-01,2.891634076914859008e+01
6.176354970758771046e+00,6.120957227224214314e+00,6.169339968747569181e+00,9.437480785146242113e+00,6.818202991034834071e+00,4.984694170979563665e+01
3.595079005737860101e+00,4.370319537993414549e+00,6.976311959272648799e+00,6.022547162926983333e-01,6.667667154456676570e+00,2.230054142935132688e+01
6.706378696181594101e+00,2.103825610738408791e+00,1.289262976548533057e+00,3.154283509241838424e+00,3.637107709426226076e+00,2.332973221944649111e+01
5.701967704178796836e+00,4.386015134623203693e+00,9.883738380592262729e+00,1.020448107480280697e+00,2.088767560948347146e+00,2.764357948325184466e+01
1.613095178849962563e+00,6.531083254653983872e+00,2.532916025397820903e+00,4.663107728563062437e+00,2.444255920016027428e+00,2.577424559628895295e+01
1.589695836455197187e+00,1.103751411643051350e+00,6.563295894652734219e+00,1.381829513486138028e+00,1.965823616800534968e+00,1.192419194206794053e+01
3.687251706609640856e+00,8.209932298479351687e+00,9.710127579306127021e-01,8.379449074988038149e+00,9.609840789396306704e-01,3.038376619795640821e+01
9.764594650133957998e+00,4.686512016477015763e+00,9.767610881903371123e+00,6.048455197450460119e+00,7.392635793983016512e+00,4.809362080394006966e+01
3.918779225432067470e-01,2.828069625764095818e+00,1.201965612131689065e+00,2.961401975221449323e+00,1.187277189542440547e+00,1.353869557308468785e+01
3.179831793939760232e+00,4.142629945146699910e+00,6.414749634878436080e-01,6.924721193700198896e+00,5.666014542065751058e+00,2.945500701216139916e+01
2.653894909394454160e+00,5.232480534666996697e+00,9.394051075844167542e-01,5.759464955561792721e+00,9.292961975762141336e+00,3.404466281080476620e+01
